tree,depth,RMSE
20,4,0.038045
21,4,0.036258
22,4,0.038299
23,4,0.03673
24,4,0.038825
25,4,0.036802
26,4,0.035706
27,4,0.036101
28,4,0.037767
29,4,0.037529
30,4,0.035746
31,4,0.0359
32,4,0.037291
33,4,0.036147
34,4,0.038525
35,4,0.036318
36,4,0.035918
37,4,0.036747
38,4,0.03547
39,4,0.038355
40,4,0.036309
20,5,0.026333
21,5,0.027122
22,5,0.029869
23,5,0.027155
24,5,0.029201
25,5,0.027121
26,5,0.026879
27,5,0.027359
28,5,0.026945
29,5,0.027387
30,5,0.026306
31,5,0.027576
32,5,0.028776
33,5,0.02717
34,5,0.027455
35,5,0.027032
36,5,0.028058
37,5,0.028086
38,5,0.026446
39,5,0.027452
40,5,0.026775
20,6,0.020888
21,6,0.021505
22,6,0.021555
23,6,0.021147
24,6,0.02105
25,6,0.021279
26,6,0.021256
27,6,0.0212
28,6,0.021638
29,6,0.020772
30,6,0.019694
31,6,0.020786
32,6,0.020913
33,6,0.021074
34,6,0.020861
35,6,0.019976
36,6,0.021058
37,6,0.020054
38,6,0.021273
39,6,0.021281
40,6,0.020429
20,7,0.016077
21,7,0.014725
22,7,0.017346
23,7,0.016398
24,7,0.01569
25,7,0.016391
26,7,0.016024
27,7,0.015982
28,7,0.016515
29,7,0.01569
30,7,0.01662
31,7,0.015883
32,7,0.016757
33,7,0.016137
34,7,0.01584
35,7,0.016651
36,7,0.016445
37,7,0.015762
38,7,0.016359
39,7,0.016099
40,7,0.016499
20,8,0.013442
21,8,0.013582
22,8,0.013521
23,8,0.013802
24,8,0.013564
25,8,0.013504
26,8,0.012793
27,8,0.013117
28,8,0.013878
29,8,0.013584
30,8,0.013449
31,8,0.013238
32,8,0.013923
33,8,0.012825
34,8,0.013692
35,8,0.013601
36,8,0.013051
37,8,0.013168
38,8,0.013792
39,8,0.013339
40,8,0.013731
20,9,0.011696
21,9,0.011355
22,9,0.01188
23,9,0.010792
24,9,0.011274
25,9,0.011348
26,9,0.011506
27,9,0.011252
28,9,0.011043
29,9,0.011634
30,9,0.011348
31,9,0.010959
32,9,0.011472
33,9,0.011698
34,9,0.011193
35,9,0.011665
36,9,0.010874
37,9,0.01133
38,9,0.011568
39,9,0.011635
40,9,0.011329
20,10,0.009764
21,10,0.010314
22,10,0.010072
23,10,0.010666
24,10,0.009858
25,10,0.010487
26,10,0.010292
27,10,0.009828
28,10,0.01002
29,10,0.009766
30,10,0.010049
31,10,0.010351
32,10,0.010309
33,10,0.010324
34,10,0.010565
35,10,0.010519
36,10,0.009924
37,10,0.010277
38,10,0.010464
39,10,0.009939
40,10,0.010123
20,11,0.009731
21,11,0.010245
22,11,0.009246
23,11,0.009533
24,11,0.00961
25,11,0.009396
26,11,0.009619
27,11,0.009703
28,11,0.009432
29,11,0.009194
30,11,0.009613
31,11,0.009571
32,11,0.009116
33,11,0.009299
34,11,0.00984
35,11,0.009446
36,11,0.009594
37,11,0.009847
38,11,0.009798
39,11,0.009544
40,11,0.009862
20,12,0.009929
21,12,0.009156
22,12,0.009017
23,12,0.009636
24,12,0.009693
25,12,0.009458
26,12,0.009444
27,12,0.009543
28,12,0.009636
29,12,0.009464
30,12,0.009545
31,12,0.009767
32,12,0.009092
33,12,0.009137
34,12,0.009379
35,12,0.00914
36,12,0.009481
37,12,0.008886
38,12,0.009569
39,12,0.009441
40,12,0.009387
20,13,0.009617
21,13,0.009573
22,13,0.009514
23,13,0.00977
24,13,0.009204
25,13,0.009193
26,13,0.009258
27,13,0.009404
28,13,0.008855
29,13,0.009469
30,13,0.009523
31,13,0.009328
32,13,0.009379
33,13,0.009534
34,13,0.009153
35,13,0.009403
36,13,0.009418
37,13,0.00878
38,13,0.009487
39,13,0.009271
40,13,0.009406
20,14,0.009576
21,14,0.009792
22,14,0.009645
23,14,0.0093
24,14,0.009205
25,14,0.00916
26,14,0.009075
27,14,0.009351
28,14,0.00924
29,14,0.009567
30,14,0.009561
31,14,0.009057
32,14,0.009345
33,14,0.009642
34,14,0.009309
35,14,0.008928
36,14,0.009115
37,14,0.009541
38,14,0.009061
39,14,0.009342
40,14,0.008951
20,15,0.009152
21,15,0.008773
22,15,0.009369
23,15,0.009782
24,15,0.00959
25,15,0.009254
26,15,0.009054
27,15,0.009204
28,15,0.009078
29,15,0.009212
30,15,0.009296
31,15,0.009092
32,15,0.009464
33,15,0.009291
34,15,0.009065
35,15,0.009041
36,15,0.009021
37,15,0.00942
38,15,0.009541
39,15,0.009177
40,15,0.008908
20,16,0.009275
21,16,0.009152
22,16,0.009471
23,16,0.00943
24,16,0.009572
25,16,0.009547
26,16,0.009401
27,16,0.009034
28,16,0.009382
29,16,0.009411
30,16,0.009419
